user_id	friends_id
2377815434	[921473238756098049, 859889104045080583]
5402612	[265902729, 742143, 612473]
87416722	[113050195, 7587032]
14075928	[1054496392675319810, 133723860, 326507914, 262323041, 159894847]
1647857366	[2161705224, 466645191, 2805971402]
366355851	[22795629, 1382713221656694788, 4337569159, 2463548605, 25901146]
4714915461	[499571150]
1018225862	[762330058774151168, 4906190919, 43365216, 385509086, 466645191]
2326482060	[2608641372]
247399641	[1223297836151975937, 604070848, 15322606, 2371680043, 731753429782036480, 808105990579257349]
2677214379	[763055794703200257, 3081013470, 1621337209]
151896622	[88802201, 58711646]
1406346067	[301076357, 2193607094, 2376042180, 24987045, 342165503, 143516375]
742143	[612473, 36670025, 265902729, 19701628, 621533, 1642135962]
1571502440	[92503159, 26548315]
7587032	[113050195, 7916972, 1734890306, 501616848, 22147342, 23420201]
14810327	[15838052, 25017261, 34931667, 64958256, 467559924, 6147252]
3098760325	[2790348867, 1972566678, 17536486, 204964559, 39545083, 37599351]
434655422	[395053749, 19513123, 1060810874, 441425680, 1340302436, 261909716]
2149913492	[156354968, 40377170, 2314412312, 1573880774, 17182311]
307478701	[1222659163, 543098712, 312334262, 25342280, 241594523, 1169350772171124736]
2265593154	[916334467764994049, 874004863490826240, 2272739412]
14294848	[364593753, 838464523, 230787751, 593837736, 812021257, 992541822122582016]
1122192223	[9339562, 16992884, 583342825, 992354785, 2310574609, 5990272]
457984599	[37920744, 1163992520252153857, 3158525205, 232901331, 137472360, 18001922]
44945327	[16420152, 430130014, 1300966661403664386, 195806875, 23457682, 176447679]
428333	[66187523, 43578692, 52752875, 466788677, 3030352151, 34992644]
5988062	[181020741, 29998941, 1085927065, 138141969, 42658822, 2814674143]
2513748687	[1254911201886310402, 1216968390, 1099667850, 1184494462208303104, 2947162377, 2484898452]
27500565	[829860993391931392, 854703472612184065, 17974757, 1078017553, 240107748, 18357959]
63105173	[25516222, 139782752, 17637238, 24172045, 1384521698846859264, 287763940]
156464691	[305328519, 27595300, 1306124826, 284374978, 27740084, 736073526]
134292677	[1059022694564487168, 1214062091423776768, 1112663857212854273, 966100353577050112, 139106364, 21279340]
1009546724	[2320650798, 312696314, 1004743667708506113, 1394382780675543040, 835202616510590977, 1319971509268631552]
38400130	[1187555410137321472, 1464624074026622978, 803832139070525444, 3491917572, 1097397213137793024, 328949769]
19310250	[230761725, 1137701, 1362376287004803072, 16592034, 970716252179136514, 38271276]
17471979	[1242108820362530820, 307957909, 17272464, 441210459, 18895192, 19110434]
14749383	[888033836902354944, 137000203, 26563129, 1054387360597753856, 27940210, 47346987]
299800115	[226706494, 980581140112297985, 251801238, 830424167593934852, 35763275, 141664648]
18215973	[2504452635, 17565514, 135985109, 18758101, 13657662, 89820928]
14800270	[425593147, 14346491, 763977799736496128, 339279439, 258758167, 14117530]
107117835	[298661702, 20468711, 15587790, 2825290761, 247897366, 20166278]
30313925	[369505837, 21030451, 708072909114318848, 703302487827058688, 4830486675, 4830614074]
13784322	[1206032538990366722, 1018971566162444289, 48028402, 86972419, 48037533, 486983254]
4970411	[3818053097, 395172492, 15659814, 44383158, 29569951, 8072532]
14138785	[906959665178841089, 431453390, 1217837013044473857, 3129471480, 2800412252, 54892956]
22594051	[730640823646199808, 2989113022, 99005079, 313736415, 842759635, 1249479716332961792]
372502604	[15433452, 292781918, 746032117, 552181330, 136473262, 95250289]
1367531	[29367753, 334715818, 17494010, 4787411118, 739119366, 16336098]
1229074621	[2397887276, 18831946, 16329181, 913153430, 762335046409850884, 45412015]
16311797	[193694345, 39278381, 37721714, 15525272, 15529730, 77146337]
26659703	[118258621, 882276949, 1945214251, 156306739, 21790028, 19615775]
1917731	[18915145, 1270398719725371394, 14975697, 426281310, 460436206, 26545310]
402098922	[1317827153820614658, 1423360612965490696, 2762108602, 1325110368348352512, 1074835560815058944, 410694885]
74186967	[269943357, 38345082, 507864785, 588535554, 798621747603980288, 935600010414231552]
1863198290	[546091696, 293621568, 1452760050, 1143579114, 1076407619806478336, 1055019437575884806]
13850422	[700736182481657856, 379870814, 771365147608752128, 1608720564, 16177634, 836706660]
868112707	[284681543, 892063279702564864, 238289520, 14489212, 48621581, 3298996199]
1299769218	[123979525, 144276525, 19608718, 224568664, 306115614, 1513382018]
19038934	[17389318, 25227444, 218333534, 3097367692, 342169925, 468923413]
110396781	[126062842, 996074320299548673, 14982804, 859062296, 381121125, 18177163]
1547119022	[1489764684773437440, 762390213054246912, 2155205903, 881826242416316417, 743465478228705280, 3251772536]
1734519186	[1226900456405946374, 1128657962082480128, 226203824, 32988505, 1456710380, 2950919421]
2097571	[66187523, 115169558, 1435656618, 422391858, 24092216, 104608458]
19636948	[416025003, 1437841900078342154, 19089339, 92619405, 133623952, 868944139]
2557521	[102734290, 1411972092, 1250261526679863302, 68441962, 2972298107, 3239359639]
25777812	[115555475, 234955568, 1417226937756356619, 107512714, 226276258, 51323915]
16973333	[95748620, 1632457778, 1331650744143888384, 934166507155873792, 368317521, 1356569509]
251881119	[987353174, 2513851915, 32933328, 80719742, 776528756, 51850045]
20562637	[80086299, 457791062, 144202961, 1392521493171511299, 801581981024849920, 102870688]
